Gene,log2FoldChange,pvalue,padj
Gm7598,0.257,0.366,0.767
4933407K13Rik,-0.0495,0.764,0.942
Gm11899,0.0696,0.724,0.928
Gm15270,-0.129,0.426,0.804
Kantr,-0.0338,0.758,0.939
Gm11752,0.596,0.224,0.654
E130215H24Rik,0.044,0.918,0.981
Cers1,-0.398,0.247,0.673
Gm15501,-0.191,0.568,0.876
Gm11266,0.0936,0.539,0.862
5730405O15Rik,-0.98,0.0447,0.349
Gm14167,0.214,0.758,0.939
Gm16156,0.748,0.0844,0.455
Gm15788,-0.602,0.191,0.616
4930577N17Rik,0.145,0.36,0.763
Gm14453,-0.23,0.638,0.904
Gm14286,0.912,0.276,0.698
A330041J22Rik,0.132,0.792,0.95
A630031M04Rik,-1.47,0.167,0.589
Gm12100,0.0943,0.781,0.947
4933406I18Rik,0.0978,0.93,0.984
4930506C21Rik,-0.306,0.264,0.689
Gm15910,0.274,0.387,0.78
2900089D17Rik,0.144,0.434,0.809
2810001G20Rik,0.137,0.413,0.795
Gm16091,0.0717,0.824,0.959
Gm16141,0.394,0.458,0.822
Tbx3os1,0.121,0.526,0.856
AV039307,0.114,0.857,0.966
Gm12319,0.332,0.0377,0.326
9830144P21Rik,0.457,0.0446,0.348
Gm15533,-0.0129,0.917,0.981
Zmiz1os1,-0.175,0.525,0.855
Hopxos,0.0332,0.885,0.972
Gm16576,0.0931,0.307,0.722
C030037D09Rik,-0.142,0.116,0.514
Ccdc142os,0.17,0.529,0.858
Hectd2os,-0.154,0.379,0.776
D430040D24Rik,-0.0882,0.657,0.91
Epb41l4aos,-0.155,0.447,0.817
1810012K08Rik,-0.221,0.668,0.911
Zfp111,-0.199,0.0766,0.437
Gm15742,0.166,0.84,0.963
4930458D05Rik,0.0989,0.535,0.86
Gm12404,0.0639,0.886,0.972
9230111E07Rik,0.0514,0.926,0.983
Gm14703,0.137,0.665,0.911
1500009L16Rik,-0.199,0.43,0.806
Hotairm1,-1.49,0.0393,0.331
Gm15122,0.144,0.821,0.958
4930447M23Rik,-0.079,0.912,0.98
Tmem250-ps,0.0467,0.271,0.695
1200007C13Rik,-0.539,0.516,0.85
Pet100,-0.0758,0.544,0.864
Cd55os,-0.991,0.0546,0.381
Gm13031,0.191,0.745,0.936
Gm15283,-0.22,0.511,0.847
Scarna2,-0.576,0.238,0.668
Gm22009,-0.445,0.136,0.546
Gm16559,-1.29,0.0475,0.358
Gm14057,0.0416,0.942,0.986
Gm15651,0.08,0.847,0.964
Fcor,-2.77,0.0324,0.304
Tnfsf13,0.158,0.552,0.868
Gm16537,-0.285,0.502,0.842
Gm16299,0.336,0.127,0.532
Bcl2l2,0.0646,0.099,0.484
Rab42,-0.261,0.498,0.841
Galnt2,0.0574,0.231,0.66
B230216N24Rik,-0.124,0.731,0.932
Gm15889,-0.446,0.487,0.836
Cbx6,0.134,0.00753,0.151
2310075C17Rik,-0.725,0.288,0.71
Mir17hg,0.268,0.191,0.616
Tgfbr3l,0.0749,0.698,0.922
Ier5l,0.293,0.0379,0.326
Gm16574,0.381,0.0409,0.336
Slc5a3,0.197,0.209,0.638
Gm15684,-0.268,0.641,0.905
Rasgef1b,0.341,0.15,0.563
Gm16536,0.273,0.0376,0.325
Gm15867,0.797,0.0173,0.228
Gm7162,0.62,0.000586,0.0373
Gm15950,-0.346,0.53,0.858
Rbm12,0.113,0.283,0.704
Gm16565,0.209,0.649,0.908
Shkbp1,-0.0695,0.497,0.841
Gm2962,-0.0289,0.949,0.988
Pitpnm2os2,1.01,0.044,0.346
A530032D15Rik,0.139,0.806,0.953
Timm10b,0.0531,0.511,0.846
Zfp882,0.0704,0.643,0.906
Umad1,-0.0198,0.824,0.959
Rps6kc1,0.147,0.038,0.327
Etohd2,0.212,0.118,0.518
Tmem102,0.416,0.322,0.734
Gm16184,0.428,0.359,0.762
0610040B10Rik,-0.159,0.362,0.764
Gm8113,0.494,0.0304,0.297
Mfsd14a,0.00909,0.86,0.966
Uckl1,0.0282,0.651,0.908
Bcl2a1b,-0.62,0.241,0.669
Gm4117,0.124,0.756,0.939
Pira2,-0.184,0.729,0.931
Pakap,0.246,0.0731,0.429
Fbxo24,-0.152,0.728,0.93
Gm45713,0.263,0.697,0.921
Phtf1os,0.576,0.169,0.591
Ier3ip1,0.0504,0.383,0.777
Gm15446,-6.69,0.000000126,0.0000888
Gimap1,-0.218,0.135,0.545
4732440D04Rik,0.192,0.131,0.538
Galnt4,0.041,0.639,0.904
Gm16573,-0.647,0.299,0.717
Pakap,0.208,0.52,0.852
1110002E22Rik,0.178,0.0344,0.313
E430024P14Rik,-0.127,0.654,0.908
Cdk5r2,-0.665,0.63,0.901
Lime1,0.0494,0.883,0.971
Rnf8,0.0675,0.52,0.853
Srpx,-0.279,0.0961,0.479
AI480526,0.28,0.0521,0.373
Gm14399,0.0873,0.594,0.889
Ttbk2,0.0793,0.301,0.718
Cmc4,0.136,0.368,0.768
Shprh,-0.031,0.712,0.925
Nhlrc4,-0.748,0.317,0.729
Usp49,0.0812,0.464,0.825
Gm16163,0.0328,0.906,0.978
Kcne1l,0.254,0.526,0.856
Ugt1a7c,-0.412,0.109,0.504
Pou3f1,-0.314,0.402,0.788
Gm10177,0.11,0.748,0.937
Uba52,0.0292,0.498,0.841
Ugt1a6b,-1.15,0.44,0.812
Acad11,-0.0927,0.111,0.505
Gm16534,-0.00279,0.987,0.996
BC035044,-0.0423,0.944,0.986
Fbxw10,0.328,0.52,0.852
4930524O07Rik,0.464,0.584,0.884
Itga10,0.398,0.112,0.507
Peds1,-0.0777,0.232,0.662
Trim34b,-0.842,0.396,0.785
Ifi203-ps,-0.139,0.289,0.711
Pcp4,-0.108,0.78,0.947
Gm16315,-1.11,0.137,0.547
Cfb,-0.68,0.206,0.634
Car15,0.406,0.339,0.747
Gm17017,-0.401,0.512,0.847
Bloc1s1,0.0226,0.673,0.913
Gm1965,-0.782,0.558,0.871
Alms1-ps1,-1.26,0.3,0.717
Gm4524,-0.0334,0.923,0.983
Churc1,0.0228,0.701,0.923
Mettl23,0.0341,0.653,0.908
Mndal,-0.279,0.00572,0.13
Prr22,0.154,0.659,0.91
Tarbp1,0.0608,0.473,0.828
Lrrc10b,0.191,0.634,0.903
Gm17034,-0.0769,0.892,0.974
9130221H12Rik,0.0935,0.461,0.824
4933411K16Rik,-0.203,0.78,0.947
Mir99ahg,0.0176,0.871,0.968
Gm17056,0.682,0.146,0.56
4930523C07Rik,-0.295,0.000246,0.0229
Gm17455,0.549,0.511,0.846
Gm17415,-0.654,0.541,0.863
Gypc,0.0257,0.751,0.937
Snrpe,0.0157,0.883,0.971
A430057M04Rik,0.566,0.242,0.671
Gm17055,0.234,0.64,0.904
Gm17024,-0.182,0.721,0.928
A930033H14Rik,-0.0964,0.695,0.921
Tex9,-0.512,0.0314,0.301
Zfp712,-0.0339,0.857,0.966
Zfp493,-0.0308,0.895,0.975
Trim43a,-0.0838,0.895,0.975
Apold1,-0.413,0.281,0.702
Rps27,-0.102,0.114,0.51
Ccdc188,0.533,0.318,0.73
Gm3235,0.0885,0.695,0.92
Gm17110,0.172,0.666,0.911
Klhl33,-0.0345,0.734,0.933
Samd15,-0.495,0.571,0.877
Myl6,0.0563,0.404,0.79
Rps13,-0.0638,0.22,0.65
Hspa1b,0.835,0.004,0.109
Pabpc4l,-0.813,0.0366,0.321
Synj2bp,0.0384,0.498,0.841
Gm17705,0.207,0.642,0.905
F830016B08Rik,-0.248,0.574,0.878
Ccdc71l,-0.0745,0.413,0.795
Gm17251,-0.18,0.279,0.701
Lrrc32,0.195,0.316,0.728
Gm17655,-0.3,0.425,0.803
D630036H23Rik,-0.132,0.844,0.964
Gm17300,-0.361,0.11,0.505
9330020H09Rik,-0.0176,0.958,0.99
Rpl6l,-1.16,0.0081,0.156
5830462I19Rik,-0.19,0.661,0.911
Ccdc152,-0.177,0.661,0.91
Gm17108,0.144,0.651,0.908
Phf11c,-0.0829,0.736,0.934
Proscos,0.144,0.534,0.86
Gm5141,-0.106,0.667,0.911
Gm17334,0.064,0.799,0.952
Gm20390,0.0602,0.845,0.964
Vgll3,-0.112,0.436,0.81
Smim13,0.0502,0.42,0.799
Gm3248,-1.96,0.00323,0.0975
Eid1,-0.046,0.379,0.776
Col6a5,-1.03,0.265,0.69
Gm17040,0.107,0.832,0.961
Gcnt4,0.396,0.481,0.833
Rd3l,-0.881,0.192,0.616
H4c14,-0.189,0.575,0.879
Ak9,-0.505,0.418,0.798
Gm3164,-0.501,0.523,0.854
Gm4202,0.707,0.268,0.693
Otogl,-0.132,0.736,0.934
Gm3739,-0.193,0.655,0.908
2610021A01Rik,0.102,0.252,0.68
Cerox1,0.0309,0.897,0.975
Gm10039,-0.231,0.44,0.812
Vmn2r97,-1.24,0.19,0.616
Mpc1-ps,0.0131,0.879,0.97
Gm17066,-0.329,0.0954,0.479
Lamtor3,0.047,0.264,0.689
Gm17484,0.323,0.322,0.734
AU040972,0,1,1
Cldn20,-1.19,0.118,0.518
Tma7,-0.00137,0.985,0.996
Gm6548,-0.262,0.175,0.6
Gm8206,-0.217,0.687,0.918
Vmn2r3,0.14,0.859,0.966
2010016I18Rik,-2.13,0.0163,0.222
Cyp4f17,-0.154,0.246,0.673
Gm17092,0.372,0.236,0.666
Lsm5,0.147,0.39,0.781
Akain1,0.852,0.322,0.734
C2cd4d,-0.517,0.318,0.73
Phf11b,-0.28,0.333,0.744
Apol11b,0.0428,0.951,0.988
Sec14l5,-0.0168,0.91,0.98
Gpr62,0.373,0.571,0.877
Gm3636,-0.989,0.0305,0.297
Zfp964,-0.184,0.309,0.724
Sco2,0.178,0.448,0.817
Gm17022,0.108,0.792,0.95
Cox16,-0.00881,0.925,0.983
Inafm1,0.162,0.0362,0.319
Rpl36-ps12,-0.276,0.681,0.916
A830073O21Rik,0.199,0.329,0.739
Ube2d2a,0.00112,0.975,0.994
Tnnc1,0.039,0.532,0.859
Gon7,0.148,0.274,0.697
Gm3646,-0.18,0.428,0.804
Gm17709,0.0422,0.907,0.979
Tmsb10b,0.181,0.801,0.952
C2cd4b,0.274,0.443,0.814
Rps2-ps10,0.165,0.278,0.701
Gm17115,-1.38,0.0865,0.459
Hspa1a,0.813,0.00544,0.127
Gm17354,0.222,0.137,0.547
E130317F20Rik,-0.42,0.0202,0.246
Smim35,-0.94,0.417,0.797
Gm6611,0.13,0.859,0.966
Gbp11,-0.247,0.758,0.939
Peg10,0.0637,0.759,0.94
Gm17229,0.0783,0.858,0.966
Bend4,-0.0435,0.788,0.949
A230065N10Rik,-0.272,0.352,0.757
Dynlt1a,-0.216,0.397,0.785
Gm6793,0.518,0.352,0.757
Gm17039,-0.14,0.851,0.964
Fancf,0.156,0.438,0.811
B930094E09Rik,0.208,0.263,0.689
4833427F10Rik,-0.284,0.49,0.837
4930515G01Rik,0.449,0.576,0.879
Gm20457,0.424,0.475,0.829
Dnaaf4,0.297,0.537,0.861
A530058N18Rik,-0.145,0.157,0.576
1110038B12Rik,-0.194,0.245,0.673
Gm20522,-0.0502,0.799,0.952
Zfp963,-0.243,0.16,0.58
Neat1,-0.108,0.334,0.744
Gm19684,-0.334,0.719,0.927
Dtnbos,0.919,0.154,0.571
Cdk3,0.216,0.644,0.906
Zfp977,0.0427,0.867,0.968
Malat1,0.1,0.253,0.68
Gm3363,0.595,0.277,0.7
A930015D03Rik,-0.276,0.364,0.765
Gm20535,1.12,0.0985,0.484
Gm4189,0.558,0.391,0.781
C130080G10Rik,0.153,0.048,0.359
Zfp141,-0.082,0.487,0.835
Gpank1,-0.0199,0.86,0.966
Gm20518,0.145,0.72,0.927
Art2a,-1.22,0.435,0.809
Gm20468,0.335,0.13,0.537
Med20,0.118,0.0755,0.435
BC051226,-0.191,0.402,0.788
Gm20544,0.138,0.0464,0.355
Serpinb10,-0.675,0.486,0.835
Gm20449,0.975,0.137,0.548
Gm20492,-0.406,0.64,0.904
Gm20427,0.115,0.729,0.931
Scnm1,0.0653,0.333,0.744
9130230N09Rik,0.15,0.706,0.924
D130058E05Rik,0.68,0.476,0.83
Rpph1,-1.44,0.0722,0.427
Gm18588,-0.0461,0.875,0.969
6330562C20Rik,-0.175,0.712,0.925
Lrch4,0.109,0.67,0.912
Gm20619,0.142,0.357,0.761
AA465934,0.0381,0.918,0.981
Gm20627,0.0573,0.919,0.981
Gm7584,-0.13,0.846,0.964
Gm20633,-0.818,0.0178,0.231
Rab26os,-0.398,0.461,0.824
Gm20695,0.128,0.783,0.948
Gm20632,-0.345,0.0384,0.328
Gm20036,-0.38,0.608,0.896
Gm20554,-0.677,0.125,0.527
Gm20683,0.157,0.544,0.864
Gm20707,-0.0564,0.861,0.967
A730085K08Rik,-0.00853,0.992,0.997
B130034C11Rik,-0.0724,0.794,0.951
Prox2os,-0.346,0.474,0.828
Gm20628,0.339,0.632,0.902
Gm20617,-1.04,0.239,0.669
Eif4e3,-0.0403,0.446,0.816
Gm20655,-0.297,0.241,0.669
Rpl41,-0.0328,0.611,0.897
Gm20712,0.0558,0.764,0.942
Gm20686,0.835,0.169,0.592
Gm8355,0.219,0.235,0.664
Ppp2r3d,0.0516,0.436,0.81
Gal3st2b,0.288,0.487,0.835
Igkv1-110,-1.81,0.376,0.773
Ighv1-53,-2.25,0.301,0.718
Ighv1-76,-1.83,0.652,0.908
Tomm20,-0.0578,0.205,0.633
Gm5784,-0.802,0.0905,0.466
Zfp853,-0.182,0.644,0.906
Hmgcs1,0.00417,0.948,0.987
Gm11756,-0.153,0.798,0.952
Gm2237,0.354,0.513,0.848
Rnasek,0.0695,0.692,0.919
Igkv4-59,-3.88,0.334,0.744
Ldlrad2,-0.356,0.732,0.932
Ighv1-80,-3.3,0.412,0.795
Ighv1-64,-3.06,0.365,0.766
Gm3264,-0.855,0.238,0.667
Ighv5-16,-2.93,0.366,0.767
Ighv1-50,-1.75,0.423,0.801
Igkv1-117,0.898,0.698,0.922
Igkv14-126,-0.752,0.848,0.964
Igkv8-28,-2.05,0.613,0.897
Gm21982,-0.622,0.38,0.776
Zbed6,-0.111,0.699,0.922
Igkv10-96,-5.43,0.0931,0.472
Igkv5-43,-1.4,0.507,0.844
Zfp955a,-0.145,0.0562,0.385
Purb,-0.051,0.44,0.812
Ighv1-69,-2.83,0.484,0.834
Ighv1-26,-1.92,0.202,0.631
Ighv1-22,-21.2,0.000000126,0.0000888
Smarce1-ps1,-0.00565,0.985,0.995
Fsbp,-0.245,0.693,0.92
Gm3055,-0.0444,0.866,0.968
Gm3252,-0.136,0.8,0.952
Gm3468,-0.387,0.333,0.743
Gal3st2,-0.0411,0.92,0.981
Ccl21a,-0.228,0.237,0.666
Ighv1-9,-3.36,0.404,0.789
A830019P07Rik,-0.708,0.22,0.65
Rnaset2b,0.0568,0.629,0.901
Gm14403,-0.103,0.418,0.798
BC147527,-0.889,0.174,0.598
Igkv6-15,-2.36,0.558,0.871
Muc3a,-0.367,0.408,0.791
Zfp131,-0.0204,0.721,0.928
Igkv9-120,-2.24,0.427,0.804
Or10h1b,-0.93,0.174,0.599
D430019H16Rik,-0.00647,0.978,0.995
Igkv6-25,-5.28,0.188,0.614
Rbm4,0.103,0.449,0.818
Gm3604,0.016,0.944,0.986
Igkv12-41,-2.83,0.484,0.834
,0.591,0.000224,0.0219
Igha,-1.73,0.148,0.562
Ccdc85b,0.0778,0.0818,0.449
Edaradd,-1.1,0.178,0.602
Itpripl2,-0.0151,0.805,0.953
Gm21781,-0.0615,0.532,0.859
Ighv1-82,-1.47,0.506,0.843
Ighv1-39,-2.7,0.503,0.842
Mid1-ps1,6.47,0.00574,0.13
Rhox5,0.175,0.537,0.861
Gm20939,-0.848,0.0956,0.479
Ighv1-7,-1.16,0.628,0.901
Zfp799,-0.0673,0.451,0.819
Ighv5-9,-3.76,0.349,0.755
Plac9,1.55,0.00188,0.0716
Gm10130,-0.0682,0.766,0.942
Zfp870,0.133,0.118,0.518
Gm9821,0.262,0.000921,0.0474
Igkv3-2,-4.91,0.221,0.651
Gm14325,-0.125,0.231,0.661
Gm21860,5.49,0.000579,0.0372
D630033O11Rik,-0.596,0.379,0.776
Gm21092,0.0697,0.788,0.949
Tmem200c,0.205,0.755,0.939
Rps2-ps6,-0.07,0.889,0.973
Ighv5-12,-4.24,0.289,0.711
Zfp748,0.0246,0.84,0.963
Mir133a-1hg,-0.211,0.181,0.606
Fignl2,0.0225,0.865,0.967
Gm9824,-0.984,0.241,0.67
Ighv1-66,-2.56,0.524,0.855
Gm55594,7.27,0.0000187,0.004
Ighv2-9-1,-0.62,0.862,0.967
Noc2l,0.0706,0.118,0.518
Ighv5-17,-2.4,0.553,0.869
Gm12350,-0.421,0.529,0.858
Ighv1-55,-2.3,0.278,0.7
Rps7-ps3,0.0218,0.94,0.986
Gm21188,-0.221,0.571,0.878
Ighv5-4,-5.15,0.2,0.629
Igkv6-23,-3.95,0.155,0.571
Igkv4-58,-0.348,0.917,0.981
Ighv14-3,-3.88,0.334,0.744
Gvin-ps3,-0.51,0.316,0.728
Gm21817,0.782,0.132,0.54
Dynlt1f,-0.0798,0.586,0.885
Gm8281,-0.0205,0.955,0.99
Rnaset2a,0.139,0.364,0.766
Rab11b-ps2,-0.209,0.716,0.926
Ighv10-3,-2.56,0.367,0.768
Gm8221,-2.71,0.202,0.631
,-0.161,0.703,0.923
Igkv4-53,-1.83,0.586,0.885
Igkv14-111,-4.19,0.297,0.716
Sirpb1a,-0.125,0.893,0.974
Nupr1l,0.291,0.432,0.807
Igkv6-17,0.722,0.766,0.942
Ighv1-58,-3.04,0.338,0.745
Nim1k,-0.161,0.186,0.612
Ighv10-1,-3.05,0.347,0.753
Zfp97,-0.118,0.349,0.755
Gm21596,-0.0577,0.869,0.968
Ighv1-75,-1.81,0.463,0.824
D830030K20Rik,-0.339,0.496,0.84
Syne1,0.0955,0.0965,0.48
Gm21986,0.386,0.37,0.769
Ighv1-72,-2.41,0.393,0.782
Ighv11-2,-0.284,0.917,0.981
Vkorc1,-0.024,0.814,0.956
Kcnj11,0.233,0.0000893,0.0117
Ighv1-85,-2.24,0.58,0.881
Or10h5,0.515,0.283,0.704
Gm8055,0.758,0.266,0.691
Cmtm4,-0.0477,0.548,0.867
Ptrhd1,-0.0943,0.48,0.833
H1f0,0.0644,0.276,0.698
1500002C15Rik,0.229,0.431,0.807
Gm13238,-0.829,0.381,0.776
Dynlt1b,0.343,0.644,0.906
Gm21814,-1.26,0.246,0.673
Ighv1-78,-4.6,0.252,0.68
Igkv1-135,-3.13,0.236,0.666
Samd11,0.666,0.404,0.79
Gm21992,0.278,0.172,0.595
Gm21811,-0.0727,0.8,0.952
Ighv1-19,-3.12,0.438,0.811
Igkv12-44,-2.56,0.444,0.815
Zfp994,-0.115,0.378,0.775
Moap1,0.315,0.24,0.669
Ighv9-3,-5.34,0.184,0.609
Ighv2-2,-3.83,0.342,0.749
Cdkn2d,0.00629,0.934,0.984
Igkv10-94,-2.24,0.439,0.812
Ighv1-5,-2.05,0.561,0.872
Igkv14-100,-4.2,0.297,0.716
Prickle4,0.483,0.257,0.685
Gm10097,-0.0125,0.977,0.994
Igkv8-19,-1.83,0.524,0.854
Tpbgl,-0.358,0.0896,0.465
Ighv2-9,-2.24,0.58,0.881
Ighv2-6,-4.81,0.231,0.66
Mfsd4b4,-0.081,0.362,0.764
Zfp960,0.0945,0.475,0.829
Igkv3-4,-1.81,0.518,0.851
Zfp781,-1.06,0.0312,0.301
Psmb9,-0.146,0.434,0.809
Lbhd1,-0.152,0.382,0.777
Gm47283,10,0.0000092,0.00246
Zfp433,0.432,0.153,0.569
Gm10481,0.252,0.682,0.916
Igkv4-55,-6.28,0.0656,0.41
Gm10778,0.285,0.461,0.824
Shisa8,-0.98,0.199,0.627
Zfp955b,-0.031,0.637,0.904
Zfp850,-0.161,0.436,0.81
2500002B13Rik,0.157,0.199,0.627
A330023F24Rik,0.118,0.447,0.817
5033403F01Rik,-1.83,0.218,0.647
1700113A16Rik,-0.581,0.119,0.52
Gm3510,-0.0523,0.917,0.981
Gm10825,-0.633,0.516,0.85
Rps19-ps6,-2.63,0.00924,0.168
Gm4221,0.366,0.436,0.81
Snhg18,0.0226,0.863,0.967
E230013L22Rik,-0.312,0.00946,0.169
4930509G22Rik,-0.15,0.811,0.955
Gm26621,0.192,0.287,0.709
4930556M19Rik,-0.134,0.673,0.913
Gm26881,-0.191,0.324,0.735
Gm10827,-0.207,0.805,0.953
Gm16845,0.0336,0.944,0.986
A930029G22Rik,0.23,0.571,0.878
Gm26789,0.0683,0.887,0.972
Gm26788,-0.112,0.796,0.951
2810029C07Rik,-0.542,0.0872,0.459
Gm17435,0.237,0.43,0.806
Gm2670,-0.148,0.832,0.961
4731419I09Rik,-0.00335,0.987,0.996
9530082P21Rik,-0.183,0.111,0.506
4930432B10Rik,-0.0185,0.983,0.995
Gm26705,0.384,0.569,0.876
BC001981,-6.65,0,2.01E-08
Gm26558,0.236,0.632,0.902
Gm26559,0.546,0.482,0.834
4930539J05Rik,0.0159,0.95,0.988
Pvt1,-0.324,0.224,0.654
Gm17491,0.133,0.289,0.711
1110020A21Rik,0.112,0.755,0.939
1600020E01Rik,0.0727,0.578,0.88
Gm4419,0.253,0.594,0.889
Gm17638,0.0335,0.904,0.978
9330151L19Rik,0.0509,0.711,0.925
Gm26760,0.0285,0.851,0.964
Gm16998,0.538,0.463,0.824
9430037G07Rik,-0.136,0.382,0.777
Cdiptos,-0.118,0.718,0.927
Gm16712,-1.52,0.0975,0.483
1700086O06Rik,0.109,0.686,0.917
Gm10425,0.103,0.846,0.964
Gm26724,0.3,0.18,0.605
C330013E15Rik,-0.0542,0.83,0.96
9330111N05Rik,-0.278,0.463,0.824
Gm9917,-0.0526,0.616,0.898
1810034E14Rik,0.0593,0.609,0.897
Gm26581,0.592,0.521,0.853
B230354K17Rik,-0.0458,0.569,0.877
D130020L05Rik,0.0275,0.842,0.963
A530020G20Rik,-1.61,0.00606,0.134
Gm26885,0.0835,0.765,0.942
4930507D05Rik,-0.903,0.134,0.543
Gm26628,-0.0225,0.963,0.992
1110002J07Rik,-0.954,0.316,0.728
Gm10524,-0.235,0.00718,0.148
9230114K14Rik,0.0941,0.566,0.875
Gm4211,-0.377,0.418,0.798
G630030J09Rik,-0.315,0.517,0.851
Gm26513,-0.0454,0.905,0.978
Gm26510,-0.361,0.332,0.743
A630072L19Rik,-0.444,0.473,0.828
2310010J17Rik,0.246,0.317,0.73
Cep83os,-0.0541,0.624,0.899
9330179D12Rik,-0.136,0.716,0.926
Gm16740,-0.0139,0.935,0.984
Gm16982,0.644,0.283,0.704
Gm4890,-0.349,0.309,0.724
9330159M07Rik,0.0283,0.814,0.956
2310002F09Rik,0.319,0.451,0.819
2700038G22Rik,-0.122,0.66,0.91
Gm17501,0.0272,0.892,0.974
4632428C04Rik,0.101,0.235,0.664
Gm26596,-0.619,0.361,0.763
Gm19426,-0.176,0.663,0.911
Gm26594,-0.0184,0.973,0.994
9330175E14Rik,-0.112,0.673,0.913
Snhg5,-0.23,0.117,0.516
Gm17690,-0.0882,0.567,0.876
6030443J06Rik,-0.242,0.486,0.835
4932441J04Rik,0.0623,0.55,0.868
Gm26549,-0.265,0.407,0.791
1810049J17Rik,-0.682,0.304,0.72
Gata6os,0.21,0.0133,0.203
Gm2449,0.0663,0.937,0.985
Gm26852,0.434,0.0992,0.484
Gm17552,0.151,0.28,0.701
Gm27029,0.407,0.498,0.841
Gm5421,0.123,0.822,0.958
Gm2694,-0.608,0.358,0.761
5033417F24Rik,-0.212,0.572,0.878
Gm26770,0.369,0.488,0.836
1700109K24Rik,0.432,0.394,0.783
Gm9903,0.00484,0.985,0.996
Gm26648,-0.115,0.623,0.899
4930525G20Rik,0.437,0.269,0.694
2900076A07Rik,0.194,0.00248,0.0844
Gm26684,-0.368,0.603,0.894
D130017N08Rik,0.0222,0.875,0.969
1300002E11Rik,0.0271,0.789,0.949
A230107N01Rik,0.426,0.251,0.678
D630002J18Rik,0.0934,0.825,0.96
Hmgb1-ps8,-0.596,0.383,0.777
Gm26532,0.177,0.185,0.611
3110083C13Rik,0.165,0.774,0.945
Gm17276,0.191,0.261,0.689
Gm17249,0.182,0.389,0.781
Gm26569,-0.46,0.431,0.807
Gm10516,0.116,0.342,0.749
1700007L15Rik,0.174,0.468,0.826
Tmem147os,-0.0887,0.649,0.908
1700028E10Rik,-0.00255,0.991,0.997
4930426I24Rik,0.441,0.433,0.808
Carmn,0.306,0.32,0.732
Gm16897,0.462,0.212,0.641
E030030I06Rik,0.589,0.219,0.648
Tnfsf12,-0.0677,0.283,0.704
Gm26672,0.335,0.0771,0.438
F420014N23Rik,0.141,0.619,0.898
Zfp87,0.128,0.273,0.696
Fendrr,-1.25,0.106,0.499
9030407P20Rik,0.246,0.342,0.749
4732491K20Rik,0.0844,0.519,0.852
2310001H17Rik,-0.621,0.00806,0.156
Gm16793,0.25,0.018,0.232
C030034L19Rik,-0.109,0.795,0.951
Gm10390,-0.107,0.789,0.949
6720427I07Rik,-0.0898,0.415,0.796
B230208H11Rik,-1.13,0.04,0.333
Gm26873,0.0636,0.782,0.947
A230087F16Rik,-0.0836,0.852,0.965
1500026H17Rik,-0.283,0.519,0.852
9130213A22Rik,-0.411,0.328,0.739
Gm3200,0.212,0.706,0.924
Mirg,0.36,0.339,0.747
Thoc2l,0.0316,0.78,0.947
Gm16861,0.324,0.0847,0.455
9230116N13Rik,0.507,0.0812,0.447
Gm10814,-0.345,0.57,0.877
D630044L22Rik,1.44,0.039,0.33
B430218F22Rik,0.811,0.0895,0.464
B130046B21Rik,0.149,0.289,0.711
AU020206,0.221,0.15,0.563
Mir155hg,-0.435,0.358,0.761
Gm10544,0.199,0.761,0.941
Gm26782,-0.016,0.836,0.962
Gm16754,0.176,0.435,0.809
Gm6277,-0.0944,0.632,0.902
Gm17529,0.123,0.83,0.96
Gm26631,0.0863,0.435,0.809
Rian,0.132,0.259,0.686
9530026P05Rik,-0.113,0.442,0.813
4930448E22Rik,-0.297,0.721,0.928
Gm26737,0.159,0.678,0.915
5830432E09Rik,-0.34,0.408,0.792
Gm26586,-0.575,0.383,0.777
Gm26583,-0.0807,0.92,0.982
Gm17634,-0.979,0.234,0.664
Ptges3l,-0.00941,0.925,0.983
4732487G21Rik,-0.14,0.645,0.906
9930014A18Rik,-0.29,0.166,0.587
4933406C10Rik,-0.193,0.573,0.878
3110045C21Rik,-0.499,0.167,0.589
4930516B21Rik,0.0243,0.926,0.983
B230322F03Rik,-0.026,0.938,0.985
4930488L21Rik,-0.822,0.305,0.721
1700022N22Rik,0.559,0.312,0.725
1700112J16Rik,0.353,0.517,0.851
Kansl2-ps,0.278,0.465,0.825
Gm26590,-0.575,0.36,0.763
Gm16675,0.268,0.245,0.673
2610037D02Rik,0.144,0.459,0.823
2610020C07Rik,-0.555,0.131,0.538
B230110C06Rik,-0.0538,0.736,0.934
Gm26902,-0.673,0.137,0.547
D430018E03Rik,-0.225,0.65,0.908
C430014B12Rik,-0.56,0.225,0.655
Jpx,-0.0326,0.805,0.953
Gm26797,-0.247,0.58,0.881
G730003C15Rik,-0.184,0.461,0.824
D930030I03Rik,-0.374,0.615,0.897
6230400D17Rik,0.0834,0.564,0.874
6430590A07Rik,0.169,0.578,0.88
E230029C05Rik,-0.145,0.676,0.915
4930578M01Rik,0.292,0.442,0.813
Dleu2,-0.00273,0.973,0.994
A330032B11Rik,0.55,0.486,0.835
Gm26676,0.392,0.253,0.68
1500002F19Rik,0.213,0.729,0.931
Gm26674,-1.33,0.174,0.598
Gm26660,0.218,0.399,0.786
A930012L18Rik,-0.94,0.155,0.572
Gm17597,0.155,0.786,0.949
1110019D14Rik,-0.24,0.11,0.505
Gm10687,-0.000994,0.996,0.999
